transaction_id,merchant,description,amount,currency,transaction_date,reference_id
"BANK-156","RELIANCE JIO CORP","Utilities settlement - Bank Auto Debit",2599.00,"INR","2026-08-21","REF-1057"
"BANK-157","TATA POWER CO LTD","Utilities settlement - Bank Auto Debit",6887.50,"INR","2026-08-22","REF-1058"
"BANK-158","FRESHWORKS INC","Software & SaaS settlement - Bank Auto Debit",9675.00,"INR","2026-08-23","REF-1059"
"BANK-159","APOLLO PHARM HEALTH","Healthcare settlement - Bank Auto Debit",2362.50,"INR","2026-08-24","REF-1060"
"BANK-160","AMZN Mktp IN","E-Commerce settlement - Bank Auto Debit",3000.00,"INR","2026-08-10","REF-1061"
"BANK-161","SWIGGY BUNDL TECH","Food & Beverage settlement - Bank Auto Debit",1267.50,"INR","2026-08-11","REF-1062"
"BANK-162","UBER INDIA TRVL","Travel & Commute settlement - Bank Auto Debit",1045.00,"INR","2026-08-12","REF-1063"
"BANK-163","MSFT CLOUD AZURE","Software & SaaS settlement - Bank Auto Debit",19162.50,"INR","2026-08-13","REF-1064"
"BANK-164","GOOGLE CLOUD GSUITE","Software & SaaS settlement - Bank Auto Debit",4900.00,"INR","2026-08-14","REF-1065"
"BANK-165","FLIPKART INTERNET","E-Commerce settlement - Bank Auto Debit",3936.50,"INR","2026-08-15","REF-1066"
"BANK-166","ZOMATO RESTAURANTS","Food & Beverage settlement - Bank Auto Debit",1665.00,"INR","2026-08-16","REF-1067"
"BANK-167","SLACK TECH INC","Software & SaaS settlement - Bank Auto Debit",13312.50,"INR","2026-08-17","REF-1068"
"BANK-168","BHARTI AIRTEL CORP","Utilities settlement - Bank Auto Debit",1499.00,"INR","2026-08-18","REF-1069"
"BANK-169","MMT TRAVEL SERVICES","Travel & Commute settlement - Bank Auto Debit",7887.50,"INR","2026-08-19","REF-1070"
"BANK-MM-100","MSFT CLOUD AZURE","Software & SaaS - Cleared through NEFT",4500.00,"INR","2026-08-12","REF-MM-1071"
"BANK-MM-101","GOOGLE CLOUD GSUITE","Software & SaaS - Cleared through NEFT",4740.00,"INR","2026-08-13","REF-MM-1072"
"BANK-MM-102","FLIPKART INTERNET","E-Commerce - Cleared through NEFT",4980.00,"INR","2026-08-14","REF-MM-1073"
"BANK-MM-103","ZOMATO RESTAURANTS","Food & Beverage - Cleared through NEFT",5220.00,"INR","2026-08-15","REF-MM-1074"
"BANK-MM-104","SLACK TECH INC","Software & SaaS - Cleared through NEFT",5460.00,"INR","2026-08-16","REF-MM-1075"
"BANK-MM-105","BHARTI AIRTEL CORP","Utilities - Cleared through NEFT",5700.00,"INR","2026-08-17","REF-MM-1076"
"BANK-MM-106","MMT TRAVEL SERVICES","Travel & Commute - Cleared through NEFT",5940.00,"INR","2026-08-18","REF-MM-1077"
"BANK-MM-107","ATLASSIAN PTY LTD","Software & SaaS - Cleared through NEFT",6180.00,"INR","2026-08-19","REF-MM-1078"
"BANK-MM-108","RELIANCE JIO CORP","Utilities - Cleared through NEFT",6420.00,"INR","2026-08-20","REF-MM-1079"
"BANK-MM-109","TATA POWER CO LTD","Utilities - Cleared through NEFT",6660.00,"INR","2026-08-21","REF-MM-1080"
"BANK-MISS-100","SLACK TECH INC","Direct wire transfer to Slack Technologies SaaS",3200.00,"INR","2026-08-15","REF-MISS-1081"
"BANK-MISS-101","BHARTI AIRTEL CORP","Direct wire transfer to Airtel Telecommunications",3650.00,"INR","2026-08-16","REF-MISS-1082"
"BANK-MISS-102","MMT TRAVEL SERVICES","Direct wire transfer to MakeMyTrip Travel Bookings",4100.00,"INR","2026-08-17","REF-MISS-1083"
"BANK-MISS-103","ATLASSIAN PTY LTD","Direct wire transfer to Atlassian Jira Confluence",4550.00,"INR","2026-08-18","REF-MISS-1084"
"BANK-MISS-104","RELIANCE JIO CORP","Direct wire transfer to Reliance Jio Infocomm",5000.00,"INR","2026-08-19","REF-MISS-1085"
"BANK-MISS-105","TATA POWER CO LTD","Direct wire transfer to Tata Power Utilities",5450.00,"INR","2026-08-20","REF-MISS-1086"
"BANK-MISS-106","FRESHWORKS INC","Direct wire transfer to Freshworks CRM Cloud",5900.00,"INR","2026-08-21","REF-MISS-1087"
"BANK-DUP-100","UBER INDIA TRVL","Uber India Systems single debit clearance",1750.00,"INR","2026-08-18","REF-DUP-1088"
"BANK-DUP-101","MSFT CLOUD AZURE","Microsoft Cloud Azure single debit clearance",2050.00,"INR","2026-08-19","REF-DUP-1089"
"BANK-DUP-102","GOOGLE CLOUD GSUITE","Google Workspace Services single debit clearance",2350.00,"INR","2026-08-20","REF-DUP-1090"
"BANK-DUP-103","FLIPKART INTERNET","Flipkart Internet Pvt Ltd single debit clearance",2650.00,"INR","2026-08-21","REF-DUP-1091"
"BANK-DUP-104","ZOMATO RESTAURANTS","Zomato Online Ordering single debit clearance",2950.00,"INR","2026-08-22","REF-DUP-1092"
"BANK-FUZZY-100","AMZN MKTP IN MUMBAI BR","POS Debit without standard external ref",5400.00,"INR","2026-08-20",""
"BANK-FUZZY-101","SWIGGY BUNDL TECH BANGALORE","POS Debit without standard external ref",1240.00,"INR","2026-08-21",""
"BANK-FUZZY-102","UBER BV AMSTERDAM INT","POS Debit without standard external ref",690.00,"INR","2026-08-22",""
"BANK-FUZZY-103","MSFT REDMOND CLOUD SUBS","POS Debit without standard external ref",24000.00,"INR","2026-08-23",""
"BANK-FUZZY-104","ZOMATO RESTRO GURGAON","POS Debit without standard external ref",1560.00,"INR","2026-08-24",""
"BANK-DATE-100","GOOGLE CLOUD GSUITE","Google Workspace Services delayed clearing debit",2900.00,"INR","2026-08-28","REF-DATE-1093"
"BANK-DATE-101","FLIPKART INTERNET","Flipkart Internet Pvt Ltd delayed clearing debit",3100.00,"INR","2026-08-28","REF-DATE-1094"
"BANK-DATE-102","ZOMATO RESTAURANTS","Zomato Online Ordering delayed clearing debit",3300.00,"INR","2026-08-28","REF-DATE-1095"
"BANK-DATE-103","SLACK TECH INC","Slack Technologies SaaS delayed clearing debit",3500.00,"INR","2026-08-28","REF-DATE-1096"
"BANK-DATE-104","BHARTI AIRTEL CORP","Airtel Telecommunications delayed clearing debit",3700.00,"INR","2026-08-28","REF-DATE-1097"
"BANK-AMB-01","Misc Vendor POS Terminal 49","Ambiguous transaction - low semantic alignment",1450.00,"INR","2026-08-19","TXN-901"
"BANK-AMB-02","Unknown Wire Transfer Inbound","Ambiguous transaction - low semantic alignment",50000.00,"INR","2026-08-25",""
"BANK-AMB-03","Paytm Payments Bank QR Scan","Ambiguous transaction - low semantic alignment",350.00,"INR","2026-08-26",""
