transaction_id,merchant,description,amount,currency,transaction_date,reference_id
"PG-258","Freshworks Cloud CRM","Software & SaaS Gateway Payment Authorized",9675.00,"INR","2026-08-23","REF-1059"
"PG-259","Apollo Healthcare Ltd","Healthcare Gateway Payment Authorized",2362.50,"INR","2026-08-24","REF-1060"
"PG-260","Amazon.in Marketplace","E-Commerce Gateway Payment Authorized",3000.00,"INR","2026-08-10","REF-1061"
"PG-261","Swiggy India Orders","Food & Beverage Gateway Payment Authorized",1267.50,"INR","2026-08-11","REF-1062"
"PG-262","Uber B.V. Payments","Travel & Commute Gateway Payment Authorized",1045.00,"INR","2026-08-12","REF-1063"
"PG-263","Microsoft Corporation","Software & SaaS Gateway Payment Authorized",19162.50,"INR","2026-08-13","REF-1064"
"PG-264","Google Asia Pacific","Software & SaaS Gateway Payment Authorized",4900.00,"INR","2026-08-14","REF-1065"
"PG-265","Flipkart Payments","E-Commerce Gateway Payment Authorized",3936.50,"INR","2026-08-15","REF-1066"
"PG-266","Zomato Limited","Food & Beverage Gateway Payment Authorized",1665.00,"INR","2026-08-16","REF-1067"
"PG-267","Salesforce Slack HQ","Software & SaaS Gateway Payment Authorized",13312.50,"INR","2026-08-17","REF-1068"
"PG-268","Airtel Direct Pay","Utilities Gateway Payment Authorized",1499.00,"INR","2026-08-18","REF-1069"
"PG-269","MakeMyTrip India","Travel & Commute Gateway Payment Authorized",7887.50,"INR","2026-08-19","REF-1070"
"PG-MM-200","Microsoft Corporation","Software & SaaS - Net of gateway fee",4450.00,"INR","2026-08-12","REF-MM-1071"
"PG-MM-201","Google Asia Pacific","Software & SaaS - Net of gateway fee",4620.00,"INR","2026-08-13","REF-MM-1072"
"PG-MM-202","Flipkart Payments","E-Commerce - Net of gateway fee",4934.50,"INR","2026-08-14","REF-MM-1073"
"PG-MM-203","Zomato Limited","Food & Beverage - Net of gateway fee",4720.00,"INR","2026-08-15","REF-MM-1074"
"PG-MM-204","Salesforce Slack HQ","Software & SaaS - Net of gateway fee",5435.00,"INR","2026-08-16","REF-MM-1075"
"PG-MM-205","Airtel Direct Pay","Utilities - Net of gateway fee",4200.00,"INR","2026-08-17","REF-MM-1076"
"PG-MM-206","MakeMyTrip India","Travel & Commute - Net of gateway fee",5860.00,"INR","2026-08-18","REF-MM-1077"
"PG-MM-207","Atlassian Cloud","Software & SaaS - Net of gateway fee",5830.00,"INR","2026-08-19","REF-MM-1078"
"PG-MM-208","Jio Payment Services","Utilities - Net of gateway fee",6405.00,"INR","2026-08-20","REF-MM-1079"
"PG-MM-209","Tata Power Bills","Utilities - Net of gateway fee",5810.00,"INR","2026-08-21","REF-MM-1080"
"PG-MISS-UNSETTLED","Stripe Online Invoicing","Customer card checkout waiting bank batch payout",8750.00,"INR","2026-08-27","REF-MISS-9999"
"PG-DUP-200","Uber B.V. Payments","Uber India Systems webhook primary capture",1750.00,"INR","2026-08-18","REF-DUP-1088"
"PG-DUP-CLONE-200","Uber B.V. Payments","Uber India Systems duplicate retry webhook trigger",1750.00,"INR","2026-08-18","REF-DUP-1088"
"PG-DUP-201","Microsoft Corporation","Microsoft Cloud Azure webhook primary capture",2050.00,"INR","2026-08-19","REF-DUP-1089"
"PG-DUP-CLONE-201","Microsoft Corporation","Microsoft Cloud Azure duplicate retry webhook trigger",2050.00,"INR","2026-08-19","REF-DUP-1089"
"PG-DUP-202","Google Asia Pacific","Google Workspace Services webhook primary capture",2350.00,"INR","2026-08-20","REF-DUP-1090"
"PG-DUP-CLONE-202","Google Asia Pacific","Google Workspace Services duplicate retry webhook trigger",2350.00,"INR","2026-08-20","REF-DUP-1090"
"PG-DUP-203","Flipkart Payments","Flipkart Internet Pvt Ltd webhook primary capture",2650.00,"INR","2026-08-21","REF-DUP-1091"
"PG-DUP-CLONE-203","Flipkart Payments","Flipkart Internet Pvt Ltd duplicate retry webhook trigger",2650.00,"INR","2026-08-21","REF-DUP-1091"
"PG-DUP-204","Zomato Limited","Zomato Online Ordering webhook primary capture",2950.00,"INR","2026-08-22","REF-DUP-1092"
"PG-DUP-CLONE-204","Zomato Limited","Zomato Online Ordering duplicate retry webhook trigger",2950.00,"INR","2026-08-22","REF-DUP-1092"
"PG-FUZZY-200","Amazon Marketplace India Retail","Merchant Aggregated Checkout",5400.00,"INR","2026-08-20",""
"PG-FUZZY-201","Swiggy Food Ordering System","Merchant Aggregated Checkout",1240.00,"INR","2026-08-21",""
"PG-FUZZY-202","Uber Rides India Private Limited","Merchant Aggregated Checkout",690.00,"INR","2026-08-22",""
"PG-FUZZY-203","Microsoft Corporation India","Merchant Aggregated Checkout",24000.00,"INR","2026-08-23",""
"PG-FUZZY-204","Zomato Ltd Delivery Payments","Merchant Aggregated Checkout",1560.00,"INR","2026-08-24",""
"PG-DATE-200","Google Asia Pacific","Google Workspace Services immediate auth",2900.00,"INR","2026-08-20","REF-DATE-1093"
"PG-DATE-201","Flipkart Payments","Flipkart Internet Pvt Ltd immediate auth",3100.00,"INR","2026-08-20","REF-DATE-1094"
"PG-DATE-202","Zomato Limited","Zomato Online Ordering immediate auth",3300.00,"INR","2026-08-20","REF-DATE-1095"
"PG-DATE-203","Salesforce Slack HQ","Slack Technologies SaaS immediate auth",3500.00,"INR","2026-08-20","REF-DATE-1096"
"PG-DATE-204","Airtel Direct Pay","Airtel Telecommunications immediate auth",3700.00,"INR","2026-08-20","REF-DATE-1097"
"PG-AMB-01","CloudFlare CDN Security Net","Ambiguous transaction gateway source",1450.00,"INR","2026-08-24","TXN-901"
"PG-AMB-02","Enterprise Software License Tier 3","Ambiguous transaction gateway source",48500.00,"INR","2026-08-25",""
"PG-AMB-03","PhonePe Merchant Services","Ambiguous transaction gateway source",320.00,"INR","2026-08-27",""
